Epoch: 0
  0%|          | 0/4000 [00:00<?, ?it/s]
Loss: 0.35229742527008057, Accuracy: 1.0
Loss: 2.7851107120513916, Accuracy: 0.5
Loss: 2.311293840408325, Accuracy: 0.5
Loss: 3.8717880249023438, Accuracy: 0.0
Loss: 0.5107037425041199, Accuracy: 1.0
Loss: 3.2842464447021484, Accuracy: 0.5
Loss: 0.7262646555900574, Accuracy: 1.0
Loss: 2.018415689468384, Accuracy: 0.5
Loss: 0.49320608377456665, Accuracy: 1.0
Loss: 1.4129762649536133, Accuracy: 0.5
Loss: 1.5784720182418823, Accuracy: 0.5
Loss: 0.1729137897491455, Accuracy: 1.0
Loss: 4.523350238800049, Accuracy: 0.0
Loss: 0.011183070950210094, Accuracy: 1.0
Loss: 0.8923901319503784, Accuracy: 1.0
Loss: 0.6073639988899231, Accuracy: 1.0
Loss: 0.5921505093574524, Accuracy: 0.5
Loss: 2.96342134475708, Accuracy: 0.5
Loss: 1.0014357566833496, Accuracy: 0.5
Loss: 1.5414364337921143, Accuracy: 0.5
Loss: 1.7860370874404907, Accuracy: 0.5
Loss: 1.3801374435424805, Accuracy: 0.5
Loss: 2.4417026042938232, Accuracy: 0.5
Loss: 1.179943323135376, Accuracy: 0.0
Loss: 2.8768293857574463, Accuracy: 0.0
Loss: 1.898299217224121, Accuracy: 0.5
Loss: 2.267906427383423, Accuracy: 0.5
Loss: 3.1792526245117188, Accuracy: 0.0
Loss: 0.35249677300453186, Accuracy: 1.0
Loss: 0.47020432353019714, Accuracy: 1.0
Loss: 0.8811863660812378, Accuracy: 0.5
Loss: 2.9563207626342773, Accuracy: 0.5
Loss: 1.271864652633667, Accuracy: 0.5
Loss: 2.008284330368042, Accuracy: 0.5
Loss: 1.9428733587265015, Accuracy: 0.5
Loss: 1.4216519594192505, Accuracy: 0.5
Loss: 0.5279168486595154, Accuracy: 1.0
Loss: 1.4037449359893799, Accuracy: 0.5
Loss: 1.845226764678955, Accuracy: 0.5
Loss: 1.1558328866958618, Accuracy: 0.5
Loss: 0.5540767908096313, Accuracy: 0.5
Loss: 0.8016902208328247, Accuracy: 0.5
Loss: 1.0477476119995117, Accuracy: 0.5
Loss: 0.23102153837680817, Accuracy: 1.0
Loss: 0.06700870394706726, Accuracy: 1.0
Loss: 0.18553952872753143, Accuracy: 1.0
Loss: 0.3251560926437378, Accuracy: 1.0
Loss: 0.0007857531891204417, Accuracy: 1.0
Loss: 2.7073886394500732, Accuracy: 0.5
Loss: 1.9025071859359741, Accuracy: 0.5
Loss: 1.931183099746704, Accuracy: 0.5
Loss: 0.0006725508719682693, Accuracy: 1.0
Loss: 2.931770086288452, Accuracy: 0.5
Loss: 2.5422630310058594, Accuracy: 0.5
Loss: 2.097292423248291, Accuracy: 0.5
Loss: 1.6660603284835815, Accuracy: 0.5
Loss: 1.443980097770691, Accuracy: 0.5
Loss: 1.8431326150894165, Accuracy: 0.5
Loss: 2.0782392024993896, Accuracy: 0.5
Loss: 0.9886582493782043, Accuracy: 0.5
Loss: 1.2181743383407593, Accuracy: 0.5
Loss: 0.8703597187995911, Accuracy: 1.0
Loss: 1.5020675659179688, Accuracy: 0.5
Loss: 1.435359239578247, Accuracy: 0.5
Loss: 0.511303722858429, Accuracy: 1.0
Loss: 1.9045761823654175, Accuracy: 0.5
Loss: 0.8238884210586548, Accuracy: 0.5
Loss: 1.7776998281478882, Accuracy: 0.5
Loss: 0.2989012598991394, Accuracy: 1.0
Loss: 0.26374417543411255, Accuracy: 1.0
Loss: 1.9730068445205688, Accuracy: 0.5
Loss: 0.8608438372612, Accuracy: 1.0
Loss: 0.4687899053096771, Accuracy: 1.0
Loss: 1.6044690608978271, Accuracy: 0.5
Loss: 3.0888726711273193, Accuracy: 0.5
Loss: 1.3608872890472412, Accuracy: 0.5
Loss: 1.2184202671051025, Accuracy: 0.5
Loss: 2.7367916107177734, Accuracy: 0.5
Loss: 1.7645869255065918, Accuracy: 0.0
Loss: 0.387975811958313, Accuracy: 1.0
Loss: 0.18009132146835327, Accuracy: 1.0
Loss: 0.35641801357269287, Accuracy: 1.0
Loss: 0.3177497982978821, Accuracy: 1.0
Loss: 1.618828535079956, Accuracy: 0.5
Loss: 1.5430618524551392, Accuracy: 0.0
Loss: 0.42923179268836975, Accuracy: 1.0
Loss: 3.4265832901000977, Accuracy: 0.5
Loss: 4.628377437591553, Accuracy: 0.0
Loss: 0.020750422030687332, Accuracy: 1.0
Loss: 0.47082018852233887, Accuracy: 1.0
Loss: 0.560636579990387, Accuracy: 1.0
Loss: 1.8712780475616455, Accuracy: 0.0
Loss: 0.86334627866745, Accuracy: 1.0
Loss: 1.1145978533022571e-05, Accuracy: 1.0
Loss: 0.0022077695466578007, Accuracy: 1.0
Loss: 3.420999050140381, Accuracy: 0.0
Loss: 1.5762525796890259, Accuracy: 0.5
Loss: 3.7047882080078125, Accuracy: 0.0
Loss: 2.7087149620056152, Accuracy: 0.5
Loss: 1.8680343627929688, Accuracy: 0.5
Loss: 2.4617486000061035, Accuracy: 0.0
Loss: 0.6720669269561768, Accuracy: 1.0
Loss: 1.5644428730010986, Accuracy: 0.5
Loss: 0.7456915378570557, Accuracy: 1.0
Loss: 0.026546327397227287, Accuracy: 1.0
Loss: 2.831986427307129, Accuracy: 0.0
Loss: 3.2620506286621094, Accuracy: 0.0
Loss: 0.7469818592071533, Accuracy: 1.0
Loss: 1.3194252252578735, Accuracy: 0.5
Loss: 0.7192058563232422, Accuracy: 1.0
Loss: 0.7034128904342651, Accuracy: 1.0
Loss: 2.7221450805664062, Accuracy: 0.5
Loss: 0.30740466713905334, Accuracy: 1.0
Loss: 0.08596824109554291, Accuracy: 1.0
Loss: 0.053646065294742584, Accuracy: 1.0
Loss: 1.0675197839736938, Accuracy: 0.5
Loss: 1.8743016719818115, Accuracy: 0.0
Loss: 1.5385982990264893, Accuracy: 0.5
Loss: 2.5638492107391357, Accuracy: 0.5
Loss: 1.386228322982788, Accuracy: 0.5
Loss: 1.969677448272705, Accuracy: 0.5
Loss: 2.0736985206604004, Accuracy: 0.5
Loss: 1.6053876876831055, Accuracy: 0.5
Loss: 1.9436668157577515, Accuracy: 0.5
Loss: 1.0670108795166016, Accuracy: 0.5
Loss: 2.628476142883301, Accuracy: 0.0
Loss: 3.6066431999206543, Accuracy: 0.5
Loss: 0.2521935999393463, Accuracy: 1.0
Loss: 2.617597818374634, Accuracy: 0.5
Loss: 0.8422215580940247, Accuracy: 0.5
Loss: 1.6805791854858398, Accuracy: 0.5
Loss: 1.2018595933914185, Accuracy: 1.0
Loss: 1.817549705505371, Accuracy: 0.5
Loss: 2.4559402465820312, Accuracy: 0.5
Loss: 0.02924671582877636, Accuracy: 1.0
Loss: 1.389037847518921, Accuracy: 0.5
Loss: 0.8512619733810425, Accuracy: 1.0
Loss: 0.25117409229278564, Accuracy: 1.0
Loss: 1.087878704071045, Accuracy: 1.0
Loss: 2.288545608520508, Accuracy: 0.5
Loss: 1.3634512424468994, Accuracy: 0.5
Loss: 1.2648037672042847, Accuracy: 0.5
